##mypackages = installed.packages()
##mypackages = mypackages %>% as.tibble() %>% select(Package, Version, Depends)

Package,Version,Depends
shinystan,2.5.0,"R (>= 3.1.0), shiny (>= 1.0.3)"
shinyWidgets,0.4.3,R (>= 3.1.0)
simmr,0.3,"R (>= 3.2.2), rjags, ggplot2"
SkewHyperbolic,0.3-2,"R (>= 2.3.0), DistributionUtils, GeneralizedHyperbolic, RUnit"
smoof,1.5.1,"ParamHelpers (>= 1.8), BBmisc (>= 1.6), checkmate (>= 1.1)"
sna,2.4,"R (>= 2.0.0), utils, statnet.common, network"
snakecase,0.9.2,R (>= 3.1)
snow,0.4-3,"R (>= 2.13.1), utils"
snowFT,1.6-0,"R (>= 3.0-0), rlecuyer"
solrium,1.0.0,NA
som,0.3-5.1,R (>= 2.10)
sourcetools,0.1.7,R (>= 3.0.2)
sp,1.3-1,"R (>= 3.0.0), methods"
spacetime,1.2-2,R (>= 3.0.0)
spam,2.2-0,"R (>= 3.1), dotCall64, grid, methods"
sparseLDA,0.1-9,R (>= 2.10)
SparseM,1.77,"R (>= 2.15), methods"
spatialEco,1.1-0,R (>= 3.3.0)
SpatialPack,0.3,NA
spatstat,1.56-1,"R (>= 3.3.0), spatstat.data (>= 1.3-0), stats, graphics,
grDevices, utils, methods, nlme, rpart"
spatstat.data,1.3-1,R (>= 3.3.0)
spatstat.utils,1.9-0,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods"
spData,0.2.9.4,R (>= 3.3.0)
spDataLarge,0.2.7.1,R (>= 3.3.0)
spdep,0.7-8,"R (>= 3.3.0), methods, sp (>= 1.0), Matrix (>= 1.0.12), spData
(>= 0.2.6.0)"
spelling,1.2,NA
spex,0.5.0,R (>= 3.3.0)
splancs,2.01-40,"R (>= 2.10.0), sp (>= 0.9)"
splm,1.4-11,"R (>= 2.12.0), spdep"
splus2R,1.2-2,R (>= 2.7.2)
SQUAREM,2017.10-1,R (>= 3.0)
stabledist,0.7-1,R (>= 3.1.0)
StanHeaders,2.18.0,R (>= 3.4.0)
stargazer,5.2.2,NA
stars,0.1-1,"R (>= 3.3.0), abind, sf (>= 0.6-3)"
statmod,1.4.30,R (>= 1.6.1)
statnet.common,4.1.4,NA
stepPlr,0.93,R (>= 2.0)
storr,1.2.0,R (>= 3.1.0)
stringi,1.1.7,R (>= 2.14)
stringr,1.3.1,R (>= 3.1)
strucchange,1.5-1,"R (>= 2.10.0), zoo, sandwich"
styler,1.0.2,NA
subplex,1.5-4,R(>= 2.5.1)
SuppDists,1.1-9.4,R (>= 3.3.0)
survAUC,1.0-5,"R (>= 2.6.0), survival"
survey,3.33-2,"R (>= 2.16.0), grid, methods, Matrix, survival"
survival,2.42-6,R (>= 2.13.0)
svd,0.4.1,NA
svglite,1.2.1,R (>= 3.0.0)
svUnit,0.7-12,R (>= 1.9.0)
SwarmSVM,0.1-4,R (>= 3.2.0)
swirl,2.4.3,R (>= 3.1.0)
tables,0.8.4,"R (>= 2.12.0), Hmisc"
tcltk2,1.2-11,"R (>= 2.8.0), tcltk"
tensor,1.5,NA
tensorA,0.36.1,"R (>= 2.2.0),stats"
testthat,2.0.0,R (>= 3.1)
texreg,1.36.23,R (>= 2.15.0)
tgp,2.4-14,R (>= 2.14.0)
TH.data,1.0-9,"R (>= 2.10.0), survival, MASS"
tibble,1.4.2,R (>= 3.1.0)
tidyr,0.8.1,R (>= 3.1)
tidyselect,0.2.4,R (>= 3.1)
tidyverse,1.2.1,NA
tiff,0.1-5,R (>= 2.9.0)
timeDate,3043.102,"R (>= 2.15.1), graphics, utils, stats, methods"
timereg,1.9.2,"R (>= 2.15), survival"
tinytex,0.8,NA
tkrplot,0.0-24,"R (>= 2.13), grDevices, tcltk"
tmap,2.1-1,"R (>= 3.0), methods"
tmaptools,2.0-1,"R (>= 3.0), methods"
trajectories,0.2-0,R (>= 3.0.0)
transformr,0.1.0,NA
treemap,2.4-2,R (>= 2.10)
triebeard,0.3.0,NA
trimcluster,0.1-2.1,R (>= 1.9.0)
TSA,1.2,R (>= 2.5.1)
tseries,0.10-45,R (>= 2.10.0)
tsibble,0.5.2,R (>= 3.1.3)
tsibbledata,0.0.0.9000,"R (>= 3.1.3),
tsibble (>= 0.1.5.9000)"
tsibblestats,0.0.0.9000,R (>= 3.1.3)
TTR,0.23-4,NA
tweedie,2.3.2,R (>= 2.8.0)
tweenr,0.1.5.9999,R (>= 3.2.0)
ucminf,1.1-4,NA
udunits2,0.13,R (>= 2.10.0)
units,0.6-1,R (>= 3.0.2)
UpSetR,1.3.3,R (>= 3.0)
urca,1.3-0,"R (>= 2.0.0), methods"
urltools,1.7.1,R (>= 2.10)
uroot,2.0-9,"R (>= 3.0.0), stats"
usethis,1.4.0,R (>= 3.1)
utf8,1.1.4,R (>= 2.10)
uuid,0.1-2,R (>= 2.9.0)
V8,1.5,NA
VarianceGamma,0.3-1,"R (>= 2.3.0), DistributionUtils, GeneralizedHyperbolic, RUnit"
vcd,1.4-4,"R (>= 2.4.0), grid"
vcdExtra,0.7-1,"R (>= 2.10), vcd, gnm (>= 1.0.3), grid"
Vdgraph,2.2-2,NA
vdiffr,0.2.3,R (>= 3.1.0)
velox,0.2.0,R (>= 3.0.2)
VGAMdata,1.0-3,R (>= 3.1.0)
viridis,0.5.1,"R (>= 2.10), viridisLite (>= 0.3.0)"
viridisLite,0.3.0,R (>= 2.10)
visdat,0.5.1,R (>= 3.2.2)
visNetwork,2.0.4,R (>= 3.0)
wavelets,0.3-0,"R (>= 2.0.0), methods"
webshot,0.5.0,R (>= 3.0)
whisker,0.3-2,NA
withr,2.1.2,R (>= 3.0.2)
xergm.common,1.7.7,"R (>= 2.14.0), ergm (>= 3.5.1), network (>= 1.13.0)"
xfun,0.3,NA
XML,3.98-1.16,"R (>= 2.13.0), methods, utils"
xml2,1.2.0,R (>= 3.1.0)
xplain,0.2.1,NA
xtable,1.8-3,R (>= 2.10.0)
xtractomatic,3.4.2,R (>= 3.3.0)
xts,0.11-1,zoo (>= 1.7-12)
yaImpute,1.0-30,R (>= 3.0.0)
yaml,2.2.0,NA
zip,1.0.0,NA
zipcode,1.0,R (>= 2.10)
zoo,1.8-4,"R (>= 3.1.0), stats"
base,3.4.4,NA
boot,1.3-20,"R (>= 3.0.0), graphics, stats"
class,7.3-14,"R (>= 3.0.0), stats, utils"
cluster,2.0.7-1,R (>= 3.2.0)
codetools,0.2-15,R (>= 2.1)
compiler,3.4.4,NA
datasets,3.4.4,NA
foreign,0.8-69,R (>= 3.0.0)
graphics,3.4.4,NA
grDevices,3.4.4,NA
grid,3.4.4,NA
KernSmooth,2.23-15,"R (>= 2.5.0), stats"
lattice,0.20-35,R (>= 3.0.0)
MASS,7.3-49,"R (>= 3.1.0), grDevices, graphics, stats, utils"
Matrix,1.2-14,R (>= 3.2.0)
methods,3.4.4,NA
mgcv,1.8-23,"R (>= 2.14.0), nlme (>= 3.1-64)"
nlme,3.1-131.1,R (>= 3.3.0)
nnet,7.3-12,"R (>= 2.14.0), stats, utils"
parallel,3.4.4,NA
rpart,4.1-13,"R (>= 2.15.0), graphics, stats, grDevices"
spatial,7.3-11,"R (>= 3.0.0), graphics, stats, utils"
splines,3.4.4,NA
stats,3.4.4,NA
stats4,3.4.4,NA
survival,2.41-3,R (>= 2.13.0)
tcltk,3.4.4,NA
tools,3.4.4,NA
translations,3.4.4,NA
utils,3.4.4,NA
